Name	log	lat	con	H
Suzhou	120.62	31.32	24.105	2
Wuxi	120.29	31.59	15.657	2
Shanghai	121.473701	31.230416	12.197	2
Jiaxing	120.7831656	30.65093955	10.195	2
Changzhou	119.974061	31.811226	9.826	1
Nantong	120.873801	32.014665	7.345	1
Zhenjiang	119.45	32.2	6.179	1
Nanjing	118.78	32.04	5.763	1
Ningbo	121.273066	30.175295	5.432	1
Shaoxing	120.576854	29.9992425	5.03	1
Huzhou	120.102398	30.867198	4.685	1
Hangzhou	120.2	30.26667	4.653	1
Taizhou	119.919606	32.476053	4.199	1
Maan Shan	118.48	31.56	3.726	0.1
Yangzhou	119.42	32.39	3.425	0.1
Jinhua	119.649506	29.089524	2.952	0.1
Wuhu	118.384108	31.36602	2.75	0.1
Taizhou	121.420757	28.656386	2.362	0.1
Xuancheng	118.73	31.95	2.093	0.1
Hefei	117.285	31.8584	1.903	0.1
Yancheng	120.13	33.38	1.81	0.1
Chuzhou	118.31	32.33	1.74	0.1
Zhoushan	122.106863	30.016028	1.4	0.1
Tongling	117.819429	30.94093	1.2	0.1
Anqing	117.05	30.53	0.677	0.1
Chizhou	117.494477	30.660019	0.526	0.1
