Name	log	lat	con	H
Shanghai	121.473701	31.230416	53.072	2
Suzhou	120.62	31.32	51.641	2
Wuxi	120.29	31.59	28.404	2
Changzhou	119.974061	31.811226	16.33	2
Nanjing	118.78	32.04	15.462	2
Jiaxing	120.7831656	30.65093955	14.032	2
Hangzhou	120.2	30.26667	11.914	2
Nantong	120.873801	32.014665	11.308	2
Ningbo	121.273066	30.175295	11.273	2
Zhenjiang	119.45	32.2	9.086	1
Shaoxing	120.576854	29.9992425	7.774	1
Taizhou	119.919606	32.476053	6.619	1
Huzhou	120.102398	30.867198	6.256	1
Yangzhou	119.42	32.39	5.576	1
Maan Shan	118.48	31.56	4.975	1
Wuhu	118.384108	31.36602	4.712	1
Jinhua	119.649506	29.089524	4.546	1
Hefei	117.285	31.8584	4.122	1
Taizhou	121.420757	28.656386	3.715	0.1
Yancheng	120.13	33.38	2.98	0.1
Xuancheng	118.73	31.95	2.736	0.1
Chuzhou	118.31	32.33	2.411	0.1
Zhoushan	122.106863	30.016028	1.566	0.1
Tongling	117.819429	30.94093	1.513	0.1
Anqing	117.05	30.53	0.987	0.1
Chizhou	117.494477	30.660019	0.647	0.1
