Name	log	lat	con	H
Shanghai	121.473701	31.230416	28.679	2
Nanjing	118.78	32.04	3.936	2
Suzhou	120.62	31.32	3.43	2
Hangzhou	120.2	30.26667	2.608	2
Ningbo	121.273066	30.175295	0.408	2
Hefei	117.285	31.8584	0.316	2
Anqing	117.05	30.53	-0.367	1
Chizhou	117.494477	30.660019	-0.405	1
Yancheng	120.13	33.38	-0.639	1
Wuhu	118.384108	31.36602	-0.787	1
Tongling	117.819429	30.94093	-0.886	1
Taizhou	121.420757	28.656386	-1.009	1
Chuzhou	118.31	32.33	-1.069	1
Zhoushan	122.106863	30.016028	-1.235	1
Yangzhou	119.42	32.39	-1.274	1
Jinhua	119.649506	29.089524	-1.357	1
Xuancheng	118.73	31.95	-1.449	1
Taizhou	119.919606	32.476053	-1.779	1
Shaoxing	120.576854	29.9992425	-2.285	0.1
Maan Shan	118.48	31.56	-2.477	0.1
Wuxi	120.29	31.59	-2.91	0.1
Huzhou	120.102398	30.867198	-3.115	0.1
Zhenjiang	119.45	32.2	-3.273	0.1
Changzhou	119.974061	31.811226	-3.323	0.1
Nantong	120.873801	32.014665	-3.381	0.1
Jiaxing	120.7831656	30.65093955	-6.357	0.1
