Name	log	lat	con	H
Shanghai	121.473701	31.230416	40.876	2
Suzhou	120.62	31.32	27.535	2
Wuxi	120.29	31.59	12.747	2
Nanjing	118.78	32.04	9.699	1
Hangzhou	120.2	30.26667	7.261	1
Changzhou	119.974061	31.811226	6.504	1
Ningbo	121.273066	30.175295	5.841	1
Nantong	120.873801	32.014665	3.963	1
Jiaxing	120.7831656	30.65093955	3.838	1
Zhenjiang	119.45	32.2	2.907	1
Shaoxing	120.576854	29.9992425	2.744	1
Taizhou	119.919606	32.476053	2.42	1
Hefei	117.285	31.8584	2.219	1
Yangzhou	119.42	32.39	2.151	1
Wuhu	118.384108	31.36602	1.962	0.1
Jinhua	119.649506	29.089524	1.595	0.1
Huzhou	120.102398	30.867198	1.571	0.1
Taizhou	121.420757	28.656386	1.353	0.1
Maan Shan	118.48	31.56	1.249	0.1
Yancheng	120.13	33.38	1.17	0.1
Chuzhou	118.31	32.33	0.671	0.1
Xuancheng	118.73	31.95	0.644	0.1
Tongling	117.819429	30.94093	0.313	0.1
Anqing	117.05	30.53	0.31	0.1
Zhoushan	122.106863	30.016028	0.165	0.1
Chizhou	117.494477	30.660019	0.121	0.1
